ENA_Run	COG_ID
ERR5169491	CAMB-71A93
ERR5169234	CAMB-71AA2
ERR5169277	CAMB-71AC0
ERR5169270	CAMB-71ADF
ERR5169262	CAMB-71AEE
ERR5169254	CAMB-71AFD
ERR5169245	CAMB-71B09
ERR5169467	CAMB-71B18
ERR5169228	CAMB-71B27
ERR5169220	CAMB-71B36
ERR5169215	CAMB-71B45
ERR5169207	CAMB-71B54
ERR5169199	CAMB-71B63
ERR5169192	CAMB-71B72
ERR5169185	CAMB-71B81
ERR5169484	CAMB-71BBE
ERR5169493	CAMB-71BCD
ERR5169323	CAMB-71BDC
ERR5169316	CAMB-71BEB
ERR5169311	CAMB-71BFA
ERR5169303	CAMB-71C06
ERR5169296	CAMB-71C15
ERR5169483	CAMB-71C24
ERR5169288	CAMB-71C33
ERR5169469	CAMB-71C42
ERR5169236	CAMB-71C51
ERR5169280	CAMB-71C60
ERR5169274	CAMB-71C7F
ERR5169264	CAMB-71C8E
ERR5169256	CAMB-71C9D
ERR5169250	CAMB-71CAC
ERR5169465	CAMB-71CBB
ERR5169429	CAMB-71CCA
ERR5169226	CAMB-71CD9
ERR5169218	CAMB-71CE8
ERR5169211	CAMB-71CF7
ERR5169201	CAMB-71D03
ERR5169193	CAMB-71D12
ERR5169188	CAMB-71D21
ERR5169414	CAMB-71D30
ERR5169371	CAMB-71D4F
ERR5169361	CAMB-71D6D
ERR5169354	CAMB-71D7C
ERR5169347	CAMB-71D8B
ERR5168938	CAMB-71D9A
ERR5168934	CAMB-71DA9
ERR5168930	CAMB-71DB8
ERR5168926	CAMB-71DC7
ERR5168925	CAMB-71DD6
ERR5168922	CAMB-71DE5
ERR5168919	CAMB-71DF4
ERR5168915	CAMB-71E00
ERR5168909	CAMB-71E2E
ERR5169425	CAMB-71E3D
ERR5169496	CAMB-71E4C
ERR5169370	CAMB-71E5B
ERR5169365	CAMB-71E6A
ERR5169356	CAMB-71E79
ERR5169348	CAMB-71E88
ERR5169341	CAMB-71E97
ERR5169336	CAMB-71EA6
ERR5169487	CAMB-71EB5
ERR5169329	CAMB-71EC4
ERR5169320	CAMB-71ED3
ERR5169314	CAMB-71EE2
ERR5169307	CAMB-71EF1
ERR5169298	CAMB-71F0D
ERR5169290	CAMB-71F1C
ERR5169282	CAMB-71F2B
ERR5169466	CAMB-71F3A
ERR5169206	CAMB-71F49
ERR5169268	CAMB-71F58
ERR5169285	CAMB-71F67
ERR5169397	CAMB-71F76
ERR5169390	CAMB-71F85
ERR5169318	CAMB-71F94
ERR5169441	CAMB-71FA3
ERR5169497	CAMB-71FB2
ERR5169470	CAMB-71FD0
ERR5169210	CAMB-71FEF
ERR5169272	CAMB-71FFE
ERR5169287	CAMB-72009
ERR5169384	CAMB-72018
ERR5169434	CAMB-72027
ERR5169448	CAMB-72036
ERR5169472	CAMB-72045
ERR5169474	CAMB-72054
ERR5169190	CAMB-72063
ERR5169251	CAMB-72072
ERR5169326	CAMB-72081
ERR5169381	CAMB-72090
ERR5169418	CAMB-720AF
ERR5169435	CAMB-720BE
